中洲,中洲,Tiong-tsiu,tiong1 tsiu1,t iong1 ts iu1,tiong* tsiu*,t iong* ts iu*
大湖,大湖,Tuā-ôo,tua7 oo5,t ua7 oo5,tua* oo*,t ua* oo*
路竹,路竹,Lōo-tik,loo7 tik4,l oo7 t ik4,loo* tik*,l oo* t ik*
岡山,岡山,Kong-san,kong1 san1,k ong1 s an1,kong* san*,k ong* s an*
橋頭,橋仔頭,Kiô-á-thâu,kio5 a2 thau5,k io5 a2 th au5,kio* a* thau*,k io* a* th au*
楠梓,楠仔坑,Lâm-á-khenn,lam5 a2 khenn1,l am5 a2 kh enn1,lam* a* khenn*,l am* a* kh enn*
新左營,新左營,Sin-Tsó-iânn,sin1 tso2 iann5,s in1 ts o2 iann5,sin* tso* iann*,s in* ts o* iann*
左營,左營,Tsó-iânn,tso2 iann5,ts o2 iann5,tso* iann*,ts o* iann*
內惟,內惟,Lāi-uî,lai7 ui5,l ai7 ui5,lai* ui*,l ai* ui*
美術館,美術館,Bí-su̍t-kuán,bi2 sut8 kuan2,b i2 s ut8 k uan2,bi* sut* kuan*,b i* s ut* k uan*
鼓山,鼓山,Kóo-san,koo2 san1,k oo2 s an1,koo* san*,k oo* s an*
三塊厝,三塊厝,Sann-tè-tshù,sann1 te3 tshu3,s ann1 t e3 tsh u3,sann* te* tshu*,s ann* t e* tsh u*
高雄,高雄,Ko-hiông,ko1 hiong5,k o1 h iong5,ko* hiong*,k o* h iong*
民族,民族,Bîn-tso̍k,bin5 tsok8,b in5 ts ok8,bin* tsok*,b in* ts ok*
科工館,科工館,Kho-kang-kuán,kho1 kang1 kuan2,kh o1 k ang1 k uan2,kho* kang* kuan*,kh o* k ang* k uan*
正義,正義,tsìng-gī,tsing3 gi7,ts ing3 g i7,tsing* gi*,ts ing* g i*
鳳山,鳳山,Hōng-suann,hong7 suann1,h ong7 s uann1,hong* suann*,h ong* s uann*
後庄,後庄,Āu-tsng,au7 tsng1,au7 ts ng1,au* tsng*,au* ts ng*
九曲堂,九曲堂,Kiú-khiok-tông,kiu2 khiok4 tong5,k iu2 kh iok4 t ong5,kiu* khiok* tong*,k iu* kh iok* t ong*
六塊厝,六塊厝,La̍k-tè-tshù,lak8 te3 tshu3,l ak8 t e3 tsh u3,lak* te* tshu*,l ak* t e* tsh u*
屏東,屏東,Pîn-tong,pin5 tong1,p in5 t ong1,pin* tong*,p in* t ong*
歸來,歸來,Kui-lâi,kui1 lai5,k ui1 l ai5,kui* lai*,k ui* l ai*
麟洛,麟洛,Lîn-lo̍k,lin5 lok8,l in5 l ok8,lin* lok*,l in* l ok*
西勢,西勢,Sai-sì,sai1 si3,s ai1 s i3,sai* si*,s ai* s i*
竹田,竹田,Tik-tshân,tik4 tshan5,t ik4 tsh an5,tik* tshan*,t ik* tsh an*
潮州,潮州,Tiô-tsiu,tio5 tsiu1,t io5 ts iu1,tio* tsiu*,t io* ts iu*
